date,code,score,turnover_score,lowvol_score,reversal_score,entry_price,exit_price,net_return
2025-12-24,000101,84.82389430374405,100.0,99.69196218080027,49.77235846821323,251.4996,251.5364,-0.002653677699686204
2025-12-08,000116,84.8238082975543,100.0,99.39518775636991,50.118308609416104,198.6453,198.7027,-0.002511042748053937
2025-12-19,000101,84.82012319358707,100.0,99.69011952679472,49.761937864029726,251.4253,251.4996,-0.0025044847913078204
2025-12-16,000101,84.81887586995703,100.0,99.69100079233257,49.7567519754688,251.3854,251.4253,-0.002641279565161745
2025-12-11,000101,84.81593091877866,100.0,99.69156792204551,49.746273820209126,251.3248,251.3854,-0.002558877755000725
2025-12-08,000101,84.81307490649858,100.0,99.69390255330548,49.73403004280554,251.3002,251.3248,-0.0027021091109357617
2025-12-11,000116,84.81224262813274,100.0,99.39719686057116,50.07741242310944,198.7027,198.8013,-0.0023037812772548905
2025-12-03,000101,84.8063260697261,100.0,99.6795170555174,49.72831700098336,251.2244,251.3002,-0.0024982777150627617
2025-12-16,000116,84.80138241254869,100.0,99.3956033086511,50.04307084840268,198.8013,198.8191,-0.0027104633621611424
2025-11-28,000101,84.80013603105893,100.0,99.6764421687291,49.711270906679154,251.15,251.2244,-0.002503762691618566
2025-12-03,000116,84.79919084156536,100.0,99.36532724428262,50.07108768688817,198.6744,198.6453,-0.0029464708085188613
2025-11-17,000101,84.79770273628216,100.0,99.67790154411246,49.701457319476,250.9652,251.0112,-0.0026167076550852775
2025-11-07,000101,84.79750760549072,100.0,99.67988073901584,49.69849782278391,250.7998,250.8916,-0.002433970999976849
2025-11-20,000101,84.79650825815054,100.0,99.6788130726681,49.696412275722324,251.0112,251.1014,-0.0024406534847847025
2025-11-12,000101,84.79565656579123,100.0,99.6808776634397,49.69116461195777,250.8916,250.9652,-0.002506646216931938
2025-11-25,000101,84.79531674626182,100.0,99.67402984213518,49.69802100504834,251.1014,251.15,-0.002606452692020063
2025-12-19,000116,84.78442885015757,100.0,99.40063945212066,49.98068347305119,198.8191,198.8836,-0.0024755844886129677
2025-10-09,000101,84.7799585264555,100.0,99.64094066931952,49.685430973978896,250.2941,250.3605,-0.0025347120847034918
2025-10-30,000101,84.77797207056507,100.0,99.67430155487166,49.639888421199984,250.6478,250.7528,-0.0023810854912749355
2025-10-22,000101,84.77787550319587,100.0,99.66317316647209,49.652549649768766,250.4995,250.5788,-0.002483432501861324
2025-10-17,000101,84.77639079376864,100.0,99.65841741314,49.653148997232144,250.4112,250.4995,-0.0024473799893934304
2025-10-14,000101,84.77473176236346,100.0,99.6477532350093,49.66006043370067,250.3605,250.4112,-0.0025974920165121648
2025-11-04,000101,84.77471111477142,100.0,99.67546908638307,49.62765644845779,250.7528,250.7998,-0.0026125644060604825
2025-10-27,000101,84.77392161482712,100.0,99.66554657639303,49.63660104363187,250.5788,250.6478,-0.0025246375192155583
2025-12-24,000116,84.76966419764052,100.0,99.40385896903598,49.92771186159312,198.8836,198.985,-0.002290154039850383
2025-11-28,000116,84.73491069072742,100.0,99.2988977623662,49.93432157966416,198.7824,198.6744,-0.003343307657015933
2025-10-09,000116,84.71748842627947,100.0,99.21369843864305,49.975646575848046,198.3616,198.4204,-0.002503571659030826
2025-11-25,000116,84.71447785980035,100.0,99.30144586912085,49.86323935202688,198.8128,198.7824,-0.0029529076598690546
2025-10-14,000116,84.70321545491949,100.0,99.22829118922908,49.91104512896438,198.4204,198.4957,-0.0024205027305660176
2025-11-20,000116,84.69537064492718,100.0,99.30292210866808,49.79782635631116,198.8098,198.8128,-0.002784910200603721
2025-10-22,000116,84.6929648811736,100.0,99.26662152513146,49.83215782459194,198.5332,198.5944,-0.002491739215405717
2025-10-17,000116,84.6856829583447,100.0,99.24603799501135,49.83189886696912,198.4957,198.5332,-0.0026110790309311774
2025-10-27,000116,84.6828978828582,100.0,99.28344505861868,49.778973707805555,198.5944,198.6705,-0.0024168069190269375
2025-11-17,000116,84.67863135375255,100.0,99.3072502919383,49.73697917191381,198.8685,198.8098,-0.0030951699238442286
2025-10-30,000116,84.6740937483326,100.0,99.29769308500548,49.73300389526894,198.6705,198.7515,-0.00239228974608717
2025-11-12,000116,84.67233555394283,100.0,99.3114575026413,49.711084760061276,198.8141,198.8685,-0.0025263775557165446
2025-11-07,000116,84.66745047623748,100.0,99.31520199106195,49.69043259788603,198.783,198.8141,-0.0026435479895161595
2025-11-04,000116,84.65282346949087,100.0,99.3134785452555,49.64368659550485,198.7515,198.783,-0.0026415106301084816
2025-12-16,000998,82.1684229976833,100.0,84.10179850118881,59.10931174089071,9.28,9.4,0.010131034482758728
2025-12-16,600161,81.75189789598693,100.0,76.07411290576145,67.08652792990144,16.18,16.44,0.013269221260815919
2025-12-11,002252,81.60733638614593,100.0,81.54919315734138,60.21706260358814,6.4097,6.3698,-0.009024940324820237
2025-12-11,000998,81.58580374728005,100.0,84.79611219130614,56.35721493440968,9.49,9.28,-0.02492855637513181
2025-12-24,600941,81.50490890210777,100.0,81.22392593145386,60.25511608699642,101.52,100.58,-0.012059259259259238
2025-12-16,000403,81.37393384477355,100.0,67.16562056770208,76.21988882025943,13.36,13.39,-0.0005544910179639865
2025-12-11,600161,81.37284153456385,100.0,76.79343184512845,64.98380129589631,16.67,16.18,-0.032194121175764964
2025-12-08,000998,81.32004292822438,100.0,85.19144711707835,55.01012145748988,9.55,9.49,-0.009082722513089057
2025-12-19,000998,81.15656589632906,100.0,83.64523414678553,56.269113149847094,9.4,9.43,0.00039148936170205944
2025-10-09,600925,80.99636744565154,100.0,86.47469806262656,52.43407707910751,4.85,4.88,0.00338556701030933
2025-10-09,002032,80.96548917930275,100.0,78.94715984772519,61.11327744199648,47.49,48.56,0.01973105917035166
2025-12-19,600941,80.94758707314108,100.0,80.93115902060535,58.73893805309736,102.16,101.52,-0.009064682850430703
2025-12-24,601006,80.91357194841325,100.0,82.52253150810184,56.768953068592054,5.29,5.25,-0.01036143667296787
2025-10-09,600116,80.87086115865276,100.0,86.46873006711519,52.0226854505415,6.5404,6.6099,0.007826261390740576
2025-12-08,601952,80.68788209005251,100.0,83.86205972101051,54.453870625662766,9.15,9.22,0.004850273224043746
2025-12-08,002252,80.66793264471985,100.0,82.2264799194313,56.29554890972969,6.5991,6.4097,-0.03150088345380431
2025-10-17,600116,80.58974304511071,100.0,85.67519818472633,52.011412268188316,6.5702,6.6198,0.0047492374661349535
2025-11-25,600116,80.57541044474897,100.0,80.74009417431682,57.72125827912696,6.4015,6.4214,0.00030864641099739203
2025-10-14,600925,80.52278870326512,100.0,84.87971247785435,52.71629778672032,4.88,4.86,-0.006898360655737618
2025-12-19,601006,80.43260655440538,100.0,82.79539292538495,54.84739676840217,5.39,5.29,-0.021352875695732774
2025-10-17,600925,80.42155920596133,100.0,84.0730952880873,53.3199195171026,4.86,4.9,0.005430452674897125
2025-12-03,000998,80.39115615530369,100.0,84.98950011326717,52.1494370522006,9.63,9.55,-0.011107372793354109
2025-12-24,000998,80.35211607287086,100.0,83.3997885435035,53.87396694214876,9.43,9.44,-0.0017395546129374564
2025-10-22,600116,80.25180321264187,100.0,85.85753413429094,50.672220885466814,6.6198,6.6695,0.004707779691229421
2025-10-14,600116,80.20664729863452,100.0,85.3471057180426,51.11720099106541,6.6099,6.5702,-0.008806142301698943
2025-11-28,000998,80.15680069085043,100.0,85.23921076506717,51.07692307692308,9.68,9.63,-0.007965289256198237
2025-11-28,601952,80.15542556770184,100.0,83.9463771980421,52.58064516129033,9.14,9.18,0.001576367614879556
2025-10-14,002327,80.13299179949757,100.0,82.24062273581633,54.49591280653951,7.12,7.13,-0.001395505617977558
2025-10-17,000998,80.11375445361122,100.0,82.80886053508445,53.768844221105525,9.7,9.75,0.0023546391752578056
2025-11-28,601006,80.09871755061155,100.0,80.38676218648928,56.544502617801044,5.48,5.58,0.015448175182481684
2025-11-25,601952,80.04773880414444,100.0,83.25189810302672,53.031914893617014,9.21,9.14,-0.01040043431053206
2025-12-03,601952,80.03516395200819,100.0,83.61224573623633,52.56959314775161,9.18,9.15,-0.00606797385620908
2025-10-22,000998,80.02739609228837,100.0,83.0817168901871,53.16265060240965,9.75,9.8,0.002328205128205201
2025-11-25,601006,79.96649627529244,100.0,80.06711741127228,56.476683937823836,5.54,5.48,-0.013630324909747223
2025-12-03,601006,79.95518529758036,100.0,82.00237113395283,54.18118466898955,5.58,5.52,-0.0135526881720431
2025-11-07,600750,79.82344020828319,100.0,83.07389403566438,52.49192431933551,21.31,21.9,0.02488653214453308
2025-10-30,601006,79.8078533632761,100.0,79.85334760948413,56.197272333188835,5.75,5.75,-0.0028
2025-10-27,002032,79.79112236065293,100.0,78.22282055128167,58.04378389234787,47.12,47.01,-0.005134465195246168
2025-10-30,002032,79.78686217575468,100.0,78.36704768849538,57.861318282604316,47.01,47.4,0.005496107211231664
2025-11-20,600161,79.77452464974014,100.0,77.54655945604215,58.777429467084644,18.02,17.69,-0.021112985571587032
2025-11-20,601006,79.68889518701084,100.0,80.2021271487981,55.39383561643835,5.63,5.54,-0.01878579040852573
2025-10-22,002032,79.65086997508007,100.0,78.80248564308593,56.89999999999999,47.7,47.12,-0.014959329140461329
2025-10-27,600116,79.61972923267476,100.0,85.39769821403237,49.10178285921144,6.6695,6.7588,0.010589309543443993
2025-11-07,000998,79.46973725385448,100.0,84.33057864153957,49.84678243105207,9.8,9.9,0.007404081632653024
2025-10-27,600132,79.45400718357622,100.0,80.76846412484869,53.95014913293065,51.9696,52.2234,0.002083624272651671
2025-11-20,600116,79.43203146768809,100.0,82.75173074603822,51.56308568858236,6.6,6.4015,-0.03287575757575746
2025-11-17,601006,79.41170505868433,100.0,80.5190972362397,54.10007008666813,5.69,5.63,-0.013344815465729437
2025-11-07,601952,79.40680896549482,100.0,82.93776430179776,51.261971532885354,9.37,9.48,0.008939594450373662
2025-11-04,600750,79.35380161135468,100.0,83.17885455559676,50.80400838965275,21.34,21.31,-0.004205810684161253
2025-10-30,000998,79.21768312630883,100.0,83.87388920720498,49.53940634595699,9.8,9.73,-0.009942857142857172
2025-11-04,000998,79.11377223773522,100.0,83.84631501218331,49.225206611570236,9.73,9.8,0.004394244604316576
2025-11-04,601006,79.054556981622,100.0,79.97191149657193,53.54795985940605,5.75,5.74,-0.004539130434782572
2025-11-12,601006,78.94140787190784,100.0,80.47409251701077,52.584918303180245,5.72,5.69,-0.008044755244755133
2025-11-12,000998,78.88717561394952,100.0,83.58221254843886,48.77800407331976,9.9,9.93,0.0002303030303029657
2025-11-17,600161,78.70096195505465,100.0,77.53658302947946,55.21052631578947,18.34,18.02,-0.02024820065430754
2025-11-12,601952,78.66658409525046,100.0,82.86508492333236,48.879347906947096,9.48,9.5,-0.0006902953586498343
2025-11-17,000998,78.63905930474343,100.0,84.19951010146474,47.23076923076923,9.93,9.85,-0.010856394763343411
