date,code,market_state,score,turnover_score,lowvol_score,reversal_score,entry_price,exit_price,net_return
2024-01-23,601868,oscillation,77.08245590969388,100.0,81.9469015233619,53.60416150606886,1.97,2.0865,0.05633705583756348
2024-01-18,601880,oscillation,76.89922641405286,100.0,78.89717768098795,57.140856902828325,1.3604,1.3118,-0.038524786827403686
2024-01-10,601880,oscillation,76.5665596291162,100.0,77.32851912223572,58.006311745334806,1.3798,1.409,0.01836248731700255
2024-01-18,600681,oscillation,76.56430015888012,100.0,75.88033502118024,60.02473160586813,3.3204,3.2324,-0.02930283098421866
2024-01-18,600739,oscillation,76.47405161237253,100.0,70.39280736842883,67.3462761336898,10.4861,10.131,-0.036663876941856376
2024-01-18,600874,oscillation,76.39338224004247,100.0,78.29780940473353,55.956595793542945,5.0178,4.8008,-0.04604604408306439
2024-01-18,000958,oscillation,76.39302173012895,100.0,74.55774285410403,61.19124692477017,3.5734,3.4485,-0.0377527061062293
2024-01-02,002936,oscillation,76.25879135665787,100.0,79.5699683347302,53.6372097580092,1.9919,2.0117,0.007140258045082493
2024-01-02,601880,oscillation,76.23123181563867,100.0,78.51682510285973,55.00137211855104,1.409,1.3993,-0.009684315117104358
2024-01-23,600021,oscillation,76.21861580395824,100.0,70.89439316649353,65.622312782742,7.1884,7.7107,0.06985872795058712
2024-01-10,002936,oscillation,76.05849147986959,100.0,77.97098764858072,55.07458321146535,1.982,2.0117,0.01218486377396561
2024-01-05,601880,oscillation,76.0542165343704,100.0,77.98713431297527,55.034878099316245,1.3993,1.3798,-0.016735539198170564
2024-01-10,600848,oscillation,75.94451205754184,100.0,70.90130440583074,64.51622206200433,9.3958,9.5397,0.012515353668660504
2024-01-10,600999,oscillation,75.92514715904106,100.0,72.86312045937373,61.692219993041,12.4548,12.2461,-0.019556591836079287
2024-01-02,002958,oscillation,75.8800481614211,100.0,79.07711150333938,52.81223654100927,2.4442,2.4815,0.012460616970788034
2024-01-23,601880,oscillation,75.84620419089194,100.0,73.5978945654806,60.347764371894954,1.3118,1.3993,0.06390224119530409
2024-01-10,601868,oscillation,75.79225888397269,100.0,76.80764402725688,55.638333897731115,1.9894,2.0088,0.006951683924801378
2024-01-23,002936,oscillation,75.7874439147416,100.0,79.74554773991747,51.506008823082,1.9523,2.0514,0.04796064129488306
2024-01-02,601916,oscillation,75.78095394319183,100.0,79.96447135604875,51.17355587429911,2.2827,2.3278,0.016957304945897266
2024-01-15,688538,oscillation,75.77103349839436,100.0,70.35192450347247,64.59143968871595,2.32,2.18,-0.06314482758620676
2024-01-31,002399,oscillation,75.7698205138119,100.0,48.11888947980376,95.71283678352232,8.0201,6.9331,-0.13833446964501686
2024-01-05,002936,oscillation,75.6800733966552,100.0,79.47022833979824,51.461973910903275,2.0117,1.982,-0.017563632748421654
2024-01-23,000776,oscillation,75.62966969694638,100.0,75.666098700946,56.58614060646111,12.7319,13.2883,0.04090125432967586
2024-01-05,000089,oscillation,75.52581846869961,100.0,74.7977805056505,57.38638116688777,6.163,6.1146,-0.010653318189193574
2024-01-02,601006,oscillation,75.51474893139167,100.0,80.04213980397621,50.0,6.5296,6.6104,0.00957441803479539
2024-01-15,000958,oscillation,75.50795647926039,100.0,73.52258119085225,59.1002122498484,3.7175,3.5734,-0.04156260928043037
2024-01-15,601718,oscillation,75.48869254594389,100.0,74.90158572222865,57.09255017265548,2.7866,2.6482,-0.052466259958372154
2024-01-15,600999,oscillation,75.42495197021572,100.0,72.37001801071202,60.38178266586607,12.2461,12.4548,0.014242160361257895
2024-01-15,601006,oscillation,75.40543637883309,100.0,82.56086582360966,46.03653336227884,6.6193,6.5835,-0.008208426872932191
2024-02-05,603117,oscillation,75.35507313282011,100.0,56.927312964725566,81.72205438066466,2.61,2.54,-0.02961992337164745
2024-01-31,300639,oscillation,75.26165180050546,100.0,51.2084060659603,89.35483870967742,6.7914,5.8509,-0.14128396501457727
2024-01-05,601006,oscillation,75.25168321821175,100.0,80.76440117559392,47.93657122701549,6.6104,6.6104,-0.0028
2024-01-05,601933,oscillation,75.23263845525274,100.0,70.6646813007221,62.000000000000014,2.76,2.76,-0.0028
2024-02-08,603001,oscillation,75.1099287399671,100.0,46.04802197883168,95.97248418950406,3.7504,4.1008,0.09063003412969273
2024-02-05,000776,oscillation,74.90931341855658,100.0,72.08597846149965,58.7168838281268,12.3829,13.1657,0.06041620945012881
2024-01-31,002422,oscillation,74.89536603143944,100.0,56.54857238153628,80.41346279160695,22.0221,21.5172,-0.025726968817687653
2024-01-31,600868,oscillation,74.71548550543251,100.0,65.66847998772823,66.92607003891051,2.28,2.03,-0.11244912280701755
2024-02-08,603117,oscillation,74.70181502904231,100.0,53.0441468362248,84.54545454545453,2.54,2.94,0.1546803149606299
2024-01-31,603077,oscillation,74.63490981370578,100.0,72.61801279272748,56.87442134500461,2.2673,2.3267,0.023398562166453543
2024-02-05,603001,oscillation,74.5770004901414,100.0,49.96592395671156,88.35570842116941,4.025,3.7504,-0.07102360248447213
2024-02-05,600116,oscillation,74.56794966784767,100.0,66.05753438849308,65.79125052750035,6.3606,7.1569,0.12239259189384658
2024-02-05,002936,oscillation,74.41510909716614,100.0,74.2055773041375,53.77262816287205,1.9225,2.0811,0.07969674902470746
2024-01-26,002399,oscillation,74.1863468739148,100.0,52.43686982809562,83.33376973632532,8.9112,8.0201,-0.10279775563336024
2024-03-21,601006,oscillation,74.08192251894593,100.0,70.55668078428265,57.54833697778801,6.6014,6.5386,-0.012313133577725966
2024-02-08,601006,oscillation,73.70578210997914,100.0,76.78166872193057,47.328792229213754,6.6642,6.9243,0.03622944089313039
2024-01-26,603001,oscillation,73.61518996853471,100.0,64.19360352104013,64.5897149446827,5.01,4.527,-0.09920718562874245
2024-01-26,601006,oscillation,73.5693416734991,100.0,78.3474641938625,44.59091682258887,6.7001,6.7001,-0.0028
2024-03-18,601006,oscillation,73.52072055772499,100.0,70.53305577962115,55.33660413943034,6.5655,6.6014,0.0026679765440560236
2024-03-21,600585,oscillation,73.49474053154958,100.0,65.37091118484695,62.459686467412595,20.8402,20.564,-0.01605323173482017
2024-03-21,600000,oscillation,73.48821896008646,100.0,72.6171577574426,52.28885497992622,6.6471,6.6939,0.004240664349866885
2024-02-08,600226,oscillation,73.38239529592403,100.0,64.81348822091252,62.79069767441862,2.36,2.43,0.026861016949152664
2024-01-26,600000,oscillation,73.37708825375326,100.0,76.98235031861148,45.73306256895697,6.4318,6.3943,-0.00863040517429019
2024-01-26,603077,oscillation,73.36467690764152,100.0,73.8990768789758,50.0,2.3465,2.2673,-0.03655239718730011
2024-03-13,601006,oscillation,73.31219904463299,100.0,70.45893896221006,54.60628163143792,6.5117,6.5655,0.005462051384431076
2024-03-18,600000,oscillation,73.15977330573152,100.0,72.8619721569569,50.63233220318642,6.6377,6.6471,-0.0013838468144085605
2024-03-13,601229,oscillation,73.15400003275998,100.0,72.80160027389041,50.69375974759333,5.5525,5.6644,0.017353084196307867
2024-03-26,601006,oscillation,73.05776916310391,100.0,70.43961355361967,53.615617677348105,6.5386,6.6014,0.006804502492888415
2024-02-08,601229,oscillation,73.0196136604373,100.0,76.77128621466767,44.598653941214494,5.4492,5.6903,0.041445026792923625
2024-03-21,601229,oscillation,73.01325847789276,100.0,72.24640280939585,50.9080699784169,5.6644,5.785,0.018490869288892115
2024-03-26,600585,oscillation,72.89821424531661,100.0,64.86273317806605,60.785030531973945,20.564,20.5179,-0.005041781754522424
2024-03-21,600016,oscillation,72.76213990298073,100.0,68.2670448802377,55.47469677959013,3.4556,3.4992,0.009817201064938096
2024-03-13,600000,oscillation,72.68059748206166,100.0,72.55601504046524,49.14396887159531,6.5909,6.6377,0.004300699449240511
2024-03-26,600000,oscillation,72.67898930218873,100.0,72.09063782545144,49.78906425312289,6.6939,6.6752,-0.0055935881922347126
2024-03-08,601006,oscillation,72.51455210829523,100.0,71.18352080132638,50.401279311324,6.6732,6.5117,-0.027001282742911845
2024-03-18,601128,oscillation,72.28312623256254,100.0,65.48186919035257,57.457888063756556,5.2465,5.2922,0.005910568950729072
2024-03-05,601006,oscillation,72.2612324590552,100.0,71.74902873471643,48.596289607617784,6.7628,6.6732,-0.016048950138995797
2024-02-29,601006,oscillation,72.25448559889773,100.0,71.74222948576507,48.57882111551983,6.6911,6.7628,0.00791572686105435
2024-03-26,601868,oscillation,72.18218384277117,100.0,69.03313992832871,52.08233947142449,2.0671,2.0574,-0.0074925644622901855
2024-03-18,601229,oscillation,72.00545088699727,100.0,72.00580200098156,47.21368074661488,5.6644,5.6644,-0.0028
2024-03-05,601229,oscillation,71.98113387679093,100.0,73.28443612533466,45.326324931695225,5.6989,5.6989,-0.0028
2024-03-13,601818,oscillation,71.90698224957077,100.0,71.078835908965,48.11755872573207,2.832,2.8584,0.006522033898305156
2024-03-18,600585,oscillation,71.89610242061224,100.0,66.32993397733219,54.722502114183925,21.5309,20.8402,-0.03487947647334759
2024-03-08,601229,oscillation,71.87730878310784,100.0,73.8541225678848,44.113463537392626,5.6989,5.5525,-0.028489168085069023
2024-03-13,601916,oscillation,71.86933720964328,100.0,73.1717655540705,45.036877062874375,2.5353,2.5804,0.01498882183568025
2024-03-05,601868,oscillation,71.6893286406047,100.0,68.61885611750584,50.690915997910636,2.0962,2.1059,0.0018274210476099807
2024-02-29,601229,oscillation,71.64467089208397,100.0,72.8963950479816,44.52373050116162,5.6214,5.6989,0.010986601202547349
2024-03-26,600016,oscillation,71.64122379980589,100.0,68.17866291471334,51.114767118624826,3.4992,3.5341,0.007173708276177391
2024-03-05,601916,oscillation,71.63941169075575,100.0,71.32740383546924,46.69928139336607,2.5173,2.5263,0.0007752592062924154
2024-02-29,600226,oscillation,71.62409682875234,100.0,61.69809978282985,60.11904761904761,2.35,2.48,0.05251914893617017
2024-02-21,601229,oscillation,71.559770503121,100.0,74.73257866093316,41.613471887177596,5.6903,5.587,-0.020953700156406508
2024-02-21,601006,oscillation,71.49506018179096,100.0,73.34199348808033,43.30144984385138,6.9243,6.8167,-0.018339476914633928
2024-02-26,600226,oscillation,71.44302580690669,100.0,63.34677789599884,57.086614173228355,2.42,2.35,-0.03172561983471068
2024-02-26,601006,oscillation,71.4391710511168,100.0,72.64798345560303,44.049507366622954,6.8167,6.6911,-0.021225337773409476
2024-02-26,601229,oscillation,71.35472769906411,100.0,72.62939084956236,43.73776360686917,5.587,5.6214,0.003357150528011572
2024-03-08,600000,oscillation,71.12456591725027,100.0,72.5410141696543,42.94084383148503,6.6658,6.5909,-0.014036460739896115
2024-02-21,600226,oscillation,71.11769405668093,100.0,63.2442303369879,55.92885375494069,2.43,2.42,-0.006915226337448654
2024-02-21,002259,oscillation,71.07939409625665,100.0,65.42753082314155,52.7190332326284,3.25,3.41,0.046430769230769275
2024-03-05,601818,oscillation,70.97373893628186,100.0,70.44570191502402,45.27097306409384,2.876,2.8584,-0.008919610570236384
2024-03-08,601818,oscillation,70.75045092486218,100.0,71.25173881660984,43.24936935619493,2.8584,2.832,-0.012035936188077316
2024-02-21,601916,oscillation,70.65691306789861,100.0,73.0321194304183,40.3826850690088,2.5443,2.4902,-0.024063215815744842
2024-03-08,601916,oscillation,70.57944367876095,100.0,71.5796605107456,42.106249999999996,2.5263,2.5353,0.0007625222657641202
2024-02-29,601916,oscillation,70.46043383752973,100.0,71.28697661244274,42.039968092699084,2.5083,2.5173,0.0007880875493361623
2024-02-26,601916,oscillation,70.34764210982544,100.0,71.43483484822279,41.38179965178989,2.4902,2.5083,0.004468492490563008
2024-02-29,600000,oscillation,70.0678369119316,100.0,71.50470800052496,40.164756446991404,6.6939,6.7033,-0.0013957364167377152
2024-02-26,600900,oscillation,69.87231443663443,100.0,70.5317919190587,40.744749059855494,23.3482,23.4417,0.0012045913603619279
